BP Percentile	Height, cm
120	125	130	135	140	145	150	155	160	165	170	175	180	185
24-h SBP
 50th	104.5	105.3	106.2	107.2	108.3	109.5	110.9	112.5	114.2	116.1	118.0	119.7	121.5	123.2
 75th	109.2	110.1	111.1	112.1	113.3	114.6	116.1	117.7	119.5	121.4	123.2	125.0	126.6	128.2
 90th	113.8	114.8	115.9	116.9	118.2	119.5	121.0	122.6	124.4	126.3	128.1	129.8	131.3	132.8
 95th	116.8	117.8	118.9	120.0	121.2	122.5	124.0	125.7	127.4	129.3	131.1	132.6	134.1	135.5
 99th	122.9	123.9	125.0	126.1	127.3	128.6	130.1	131.7	133.4	135.2	136.8	138.2	139.4	140.5
Daytime SBP
 50th	110.8	111.1	111.5	112.0	112.7	113.7	115.1	116.8	118.6	120.6	122.6	124.4	126.2	128.0
 75th	116.2	116.5	116.9	117.4	118.0	119.0	120.4	122.1	124.2	126.4	128.4	130.3	132.2	134.1
 90th	121.7	121.9	122.2	122.5	123.0	123.9	125.3	127.1	129.4	131.9	134.1	136.1	138.0	139.9
 95th	125.2	125.3	125.5	125.7	126.0	126.9	128.3	130.2	132.7	135.3	137.6	139.6	141.6	143.5
 99th	132.6	132.4	132.2	132.0	132.1	132.8	134.2	136.3	139.1	142.2	144.7	146.8	148.6	150.5
Nighttime SBP
 50th	93.6	94.6	95.6	96.7	97.9	99.0	100.1	101.3	102.6	104.1	105.6	107.2	108.7	110.2
 75th	98.6	99.8	101.0	102.3	103.6	104.7	105.9	107.1	108.4	109.9	111.5	113.1	114.6	116.1
 90th	103.3	104.8	106.3	107.8	109.3	110.6	111.8	113.0	114.3	115.7	117.2	118.8	120.3	121.8
 95th	106.3	107.9	109.7	111.4	113.0	114.4	115.7	116.8	118.1	119.4	120.9	122.4	123.9	125.3
 99th	112.1	114.2	116.5	118.7	120.8	122.5	123.8	124.9	126.0	127.1	128.4	129.6	131.0	132.2
24-h DBP
 50th	65.6	65.9	66.1	66.4	66.6	66.9	67.1	67.2	67.3	67.5	67.6	67.8	68.0	68.2
 75th	69.7	69.9	70.2	70.4	70.6	70.8	71.0	71.1	71.2	71.3	71.5	71.7	71.8	71.9
 90th	73.9	74.1	74.2	74.4	74.5	74.7	74.8	74.8	74.9	75.1	75.3	75.4	75.5	75.6
 95th	76.7	76.8	76.9	76.9	77.0	77.1	77.1	77.2	77.3	77.5	77.7	77.8	77.9	78.0
 99th	82.7	82.5	82.3	82.1	81.9	81.8	81.8	81.8	81.9	82.2	82.5	82.7	82.9	83.0
Daytime DBP
 50th	72.3	72.3	72.2	72.1	72.1	72.1	72.1	72.1	72.2	72.3	72.6	72.8	73.1	73.4
 75th	76.5	76.4	76.3	76.2	76.0	76.0	75.9	75.9	76.0	76.2	76.5	76.8	77.2	77.5
 90th	80.2	80.1	79.9	79.7	79.5	79.4	79.3	79.3	79.4	79.7	80.0	80.5	80.9	81.3
 95th	82.4	82.2	82.0	81.8	81.5	81.4	81.2	81.2	81.3	81.7	82.1	82.6	83.1	83.6
 99th	86.5	86.2	85.9	85.6	85.2	85.0	84.8	84.8	85.0	85.4	86.0	86.6	87.3	87.9
Nighttime DBP
 50th	54.3	54.8	55.1	55.5	55.8	56.0	56.2	56.2	56.3	56.5	56.7	56.9	57.1	57.3
 75th	57.6	58.2	58.8	59.2	59.6	59.9	60.1	60.2	60.2	60.3	60.5	60.6	60.8	60.9
 90th	60.7	61.4	62.1	62.7	63.2	63.5	63.7	63.8	63.8	63.9	63.9	64.0	64.1	64.2
 95th	62.6	63.4	64.2	64.8	65.4	65.8	66.0	66.0	66.0	66.0	66.1	66.1	66.1	66.2
 99th	66.2	67.2	68.2	69.0	69.7	70.1	70.4	70.4	70.3	70.3	70.2	70.1	70.0	69.9
24-h MAP
 50th	77.5	78.1	78.7	79.3	79.9	80.5	81.1	81.7	82.3	83.1	83.9	84.7	85.5	86.3
 75th	81.8	82.4	83.0	83.5	84.1	84.6	85.2	85.9	86.6	87.3	88.1	89.0	89.8	90.7
 90th	86.3	86.7	87.2	87.6	88.0	88.5	89.1	89.7	90.3	91.1	91.9	92.7	93.5	94.3
 95th	89.3	89.6	89.9	90.2	90.5	90.9	91.4	91.9	92.6	93.3	94.0	94.8	95.6	96.4
 99th	95.9	95.7	95.5	95.4	95.4	95.6	95.9	96.3	96.7	97.4	98.0	98.7	99.4	100.1
Daytime MAP
 50th	83.8	84.1	84.3	84.5	84.7	85.0	85.4	85.8	86.4	87.1	88.0	89.0	90.0	91.0
 75th	88.5	88.7	88.9	89.0	89.1	89.4	89.6	90.1	90.7	91.6	92.6	93.7	94.9	96.1
 90th	92.9	93.0	93.1	93.1	93.1	93.2	93.4	93.8	94.5	95.4	96.5	97.7	99.0	100.3
 95th	95.6	95.6	95.6	95.5	95.5	95.5	95.7	96.0	96.7	97.7	98.8	100.1	101.4	102.8
 99th	101.0	100.7	100.5	100.2	99.9	99.7	99.8	100.1	100.8	101.7	102.9	104.3	105.7	107.1
Nighttime MAP
 50th	66.8	67.6	68.3	69.0	69.6	70.1	70.6	71.2	71.9	72.7	73.6	74.5	75.4	76.2
 75th	71.0	71.9	72.7	73.4	73.9	74.4	74.9	75.4	76.0	76.8	77.6	78.3	79.1	79.8
 90th	75.9	76.6	77.3	77.9	78.3	78.6	78.9	79.2	79.7	80.3	80.9	81.5	82.1	82.7
 95th	79.5	80.0	80.5	80.9	81.2	81.3	81.4	81.5	81.9	82.3	82.8	83.3	83.8	84.3
 99th	88.4	88.1	87.8	87.6	87.2	86.7	86.3	86.0	86.0	86.1	86.3	86.5	86.8	87.0

