Age,Gender,n,Variable,10th,25th,50th,75th,90th,95th,Minimum,Maximum
<6m,M,62,LVM,7.22,9.04,10.94,14.16,16.28,17.6,6.27,21.18
,,,LVMI,40.19,46.92,56.44,66.41,75.72,80.1,32.41,83
,F,43,LVM,7.59,9.27,11.15,13.76,16.05,16.5,5.49,28.74
,,,LVMI,39.05,48.62,55.38,65.98,73.47,85.6,21.22,109.2
[6m-2y],M,73,LVM,16.95,20.25,23.88,27.84,32.47,33.7,9.43,36.32
,,,LVMI,36.17,40.66,44.95,53.29,61.27,68.6,26.71,74.75
,F,53,LVM,15.39,17.45,22.25,26.46,31.98,34.6,12.22,35.98
,,,LVMI,32.91,38.67,42.04,49.85,52.86,57.1,24.18,61.06
(2y-4y],M,124,LVM,24.37,28.52,33.31,38.79,45.48,48.4,13.27,58.13
,,,LVMI,28.44,33.88,39.5,45.19,48.74,52.4,21.25,77.07
,F,84,LVM,24.7,28.4,33.34,38.15,43.88,46.1,17.9,50.98
,,,LVMI,28.87,31.85,37.88,43.11,47.65,55.3,20.63,66.58
(4y-6y],M,133,LVM,34.36,39.13,45.49,52.62,59.26,63.2,22.92,83.51
,,,LVMI,27.68,30.68,36.96,40.2,45.12,48.1,18.76,57.25
,F,111,LVM,29.24,34.57,39.67,46.59,50.38,57.3,17.68,76.64
,,,LVMI,25.85,28.06,32.29,36.43,43.47,44.3,18.17,59.25
(6y-8y],M,117,LVM,40.23,45.14,51.73,62.06,70.48,77.4,25.95,97.29
,,,LVMI,24.47,28.56,31.79,36.28,40.18,44.6,20.27,59.47
,F,110,LVM,36.88,40.6,48.38,55.84,65.54,72.1,25.29,89.3
,,,LVMI,23.15,25.77,29.71,33.15,37.73,43.5,20.11,54.76
(8y-10y],M,111,LVM,45.32,51.49,62.09,73.42,84.61,91.1,32.35,122
,,,LVMI,22.45,24.85,29.11,34.57,38.25,41,15.24,53.19
,F,99,LVM,39.22,48.08,54.76,70.87,75.49,83.6,31.6,91.82
,,,LVMI,19.07,22.12,26.63,30.37,34.3,36,13.46,44.35
(10y-12y],M,122,LVM,57.76,66.28,74.1,89.43,105.3,111,37.94,124.7
,,,LVMI,21.88,24.71,28.18,31.87,36.42,38.2,14.72,43.05
,F,92,LVM,57.12,62.94,71.66,85.44,98,102,26.53,149.1
,,,LVMI,20.22,23.25,26.11,29.63,33.05,35.7,13.06,44.88
(12y-14y],M,180,LVM,66.88,82.5,97.76,117.8,138.1,150,51.18,202.3
,,,LVMI,21.02,24.38,28.8,32.84,39.08,41.4,12.61,47.75
,F,144,LVM,60.79,78.37,92.36,108.8,119.8,128,37.56,165.9
,,,LVMI,20.47,23.63,26.68,29.86,34.65,38.2,10.21,43.59
(14y-16y],M,194,LVM,90.53,106.9,125.7,145.3,167.2,181,38.51,212
,,,LVMI,22.22,25.11,28.77,33.49,38.47,40.5,8.905,46.01
,F,167,LVM,72.67,84.97,98.73,114.7,130,143,39.53,235
,,,LVMI,20.69,23.55,26.51,29.97,34.89,36.9,12.31,54.33
(16y-18y],M,151,LVM,93.1,111.3,131.5,154,183.1,204,64.74,256.7
,,,LVMI,20.72,24.62,29,32.81,37.73,39.4,13.86,46.33
,F,103,LVM,73.9,85.06,101.6,118.8,139.5,154,45.48,201.4
,,,LVMI,20.06,22.94,26.35,31.4,37.93,40,11.21,50.74
