height(cm),n,sbp_24h_L,sbp_24h_M,sbp_24h_S,sbp_day_L,sbp_day_M,sbp_day_S,sbp_night_L,sbp_night_M,sbp_night_S,dbp_24h_L,dbp_24h_M,dbp_24h_S,dbp_day_L,dbp_day_M,dbp_day_S,dbp_night_L,dbp_night_M,dbp_night_S,map_24h_L,map_24h_M,map_24h_S,map_day_L,map_day_M,map_day_S,map_night_L,map_night_M,map_night_S
120,30,0.593,104,0.059,2.107,110,0.061,1.565,95,0.07,2.996,65.9,0.065,1.952,73.2,0.077,1.491,55.4,0.112,1.848,77.2,0.067,2.092,83.3,0.074,0.335,68,0.097
125,32,0.553,105,0.06,1.947,110.5,0.062,1.184,95.7,0.071,2.79,65.9,0.07,1.915,72.8,0.08,1.276,55.3,0.115,1.976,77.8,0.068,2.039,83.7,0.076,0.41,68.2,0.096
130,27,0.535,106,0.06,1.804,111,0.063,0.823,96.4,0.073,2.592,66,0.075,1.881,72.4,0.083,1.075,55.1,0.118,2.103,78.3,0.069,2.014,84,0.077,0.477,68.4,0.096
135,20,0.566,106.8,0.061,1.686,111.6,0.064,0.518,96.9,0.075,2.407,66.1,0.08,1.851,72.1,0.087,0.891,54.8,0.12,2.236,78.7,0.071,2.032,84.1,0.079,0.553,68.5,0.096
140,34,0.657,107.6,0.062,1.583,112.2,0.065,0.292,97.5,0.077,2.221,66.2,0.084,1.832,71.8,0.09,0.705,54.6,0.121,2.366,79.2,0.073,2.099,84.3,0.08,0.65,68.7,0.097
145,39,0.797,108.7,0.062,1.48,113.1,0.066,0.167,98.1,0.079,2.006,66.3,0.087,1.828,71.7,0.092,0.497,54.4,0.121,2.479,79.7,0.074,2.217,84.5,0.08,0.778,69,0.097
150,54,0.973,109.9,0.063,1.367,114.3,0.066,0.186,98.9,0.08,1.743,66.5,0.089,1.836,71.8,0.092,0.279,54.3,0.118,2.591,80.2,0.074,2.404,84.9,0.079,0.955,69.3,0.097
155,51,1.194,111.2,0.062,1.259,115.6,0.066,0.378,100,0.079,1.435,66.7,0.087,1.846,72,0.09,0.074,54.3,0.114,2.751,80.8,0.073,2.684,85.5,0.077,1.202,69.8,0.095
160,65,1.485,112.4,0.06,1.22,117,0.064,0.745,101.1,0.077,1.088,67,0.083,1.835,72.4,0.085,-0.091,54.6,0.11,2.967,81.5,0.072,3.042,86.2,0.074,1.514,70.4,0.093
165,53,1.834,113.7,0.058,1.261,118.3,0.060,1.272,102.2,0.073,0.7,67.4,0.078,1.799,73.1,0.077,-0.2,54.9,0.106,3.214,82.3,0.069,3.442,87,0.07,1.871,71.2,0.091
170,46,2.21,115,0.055,1.332,119.8,0.055,1.903,103.4,0.07,0.285,68,0.071,1.739,73.9,0.069,-0.261,55.1,0.147,3.466,83.1,0.066,3.852,88,0.064,2.249,72,0.089
175,24,2.601,116.4,0.052,1.41,121.2,0.050,2.579,104.6,0.068,-0.136,68.6,0.064,1.671,74.8,0.061,-0.296,55.4,0.099,3.728,84,0.064,4.268,88.9,0.059,2.638,72.8,0.087
